Product ID,Product Name,Category,Unit Price,Available Stock,Expiry Date
CLBL01,Bleach,Cleaning,4.66,126,-
HESH01,Shampoo,Health & Beauty,7.39,451,2024-05-11
HETO01,Toothpaste,Health & Beauty,19.13,296,2024-04-17
DACH01,Cheese,Dairy,3.31,306,2024-08-15
DACH02,Cheese,Dairy,17.54,205,2024-08-20
BESO01,Soda,Beverages,13.99,45,2024-05-05
GRBR01,Bread,Groceries,1.99,480,2024-09-20
GRBR02,Bread,Groceries,17.09,246,2024-09-18
DACH03,Cheese,Dairy,11.49,356,2024-04-07
HETO02,Toothpaste,Health & Beauty,1.66,154,2024-05-24
GRRI01,Rice,Groceries,11.47,277,2024-04-07
HESH02,Shampoo,Health & Beauty,17.72,182,2024-07-03
GRPA01,Pasta,Groceries,1.75,272,2024-12-04
CLBL02,Bleach,Cleaning,5.39,289,2024-08-19
BEJU01,Juice,Beverages,12.56,205,2024-04-17
GRBE01,Beans,Groceries,18.1,209,-
BETE01,Tea,Beverages,19.25,348,2024-08-06
DACH04,Cheese,Dairy,13.89,464,2024-05-16
DAMI01,Milk,Dairy,15.34,166,-
BEJU02,Juice,Beverages,13.66,190,2024-12-12
DACH05,Cheese,Dairy,7.87,61,2024-09-26
CLDI01,Disinfectant,Cleaning,1.75,98,2024-08-12
HESH03,Shampoo,Health & Beauty,12.91,59,2024-04-07
GRBR03,Bread,Groceries,6.31,221,2024-07-13
HESO01,Soap,Health & Beauty,16.81,202,-
GRPA02,Pasta,Groceries,10.96,443,2024-06-08
CLDE01,Detergent,Cleaning,13.15,344,2024-05-26
GRPA03,Pasta,Groceries,17.23,203,2024-11-23
CLDE02,Detergent,Cleaning,10.55,216,-
GRBE02,Beans,Groceries,2.08,255,2024-12-16
CLBL03,Bleach,Cleaning,1.44,225,2024-04-22
GRRI02,Rice,Groceries,8.84,366,2024-11-10
CLBL04,Bleach,Cleaning,4.04,265,2024-06-16
DACH06,Cheese,Dairy,6.23,248,-
CLDI02,Disinfectant,Cleaning,10.37,197,2024-12-05
DACH07,Cheese,Dairy,10.95,453,2024-03-08
DAEG01,Eggs,Dairy,14.16,349,2024-08-25
DAEG02,Eggs,Dairy,11.1,141,2024-10-16
DAYO01,Yogurt,Dairy,6.41,216,2024-12-31
GRPA04,Pasta,Groceries,19.34,277,2024-09-24
CLBL05,Bleach,Cleaning,6.06,376,-
GRBE03,Beans,Groceries,10.5,41,2024-07-09
CLDE03,Detergent,Cleaning,10.59,298,2024-10-25
BEJU03,Juice,Beverages,2.04,327,2024-07-24
CLDE04,Detergent,Cleaning,8.17,464,-
CLDI03,Disinfectant,Cleaning,7.31,396,2024-10-15
CLBL06,Bleach,Cleaning,17.19,440,2024-12-06
DAEG03,Eggs,Dairy,12.41,29,2024-11-21
HETO03,Toothpaste,Health & Beauty,8.98,201,-
CLBL07,Bleach,Cleaning,17.13,84,2024-07-27
BESO02,Soda,Beverages,12.21,474,2024-10-22
HESH04,Shampoo,Health & Beauty,13.08,72,2024-07-20
CLDE05,Detergent,Cleaning,3.69,32,2024-05-21
CLDI04,Disinfectant,Cleaning,8.14,419,2024-05-19
DAEG04,Eggs,Dairy,5.84,361,2024-12-16
BESO03,Soda,Beverages,12.88,402,2024-06-18
HESO02,Soap,Health & Beauty,5.96,493,2024-08-12
CLDI05,Disinfectant,Cleaning,5.96,90,2024-05-24
GRBR04,Bread,Groceries,9.06,192,2024-09-24
CLDI06,Disinfectant,Cleaning,17.44,432,2024-04-03
BEJU04,Juice,Beverages,4.6,473,2024-05-25
CLDE06,Detergent,Cleaning,16.92,75,2024-04-11
HESH05,Shampoo,Health & Beauty,7.92,281,2024-05-20
CLDI07,Disinfectant,Cleaning,7.65,201,2024-12-07
BEJU05,Juice,Beverages,7.86,413,2024-04-12
DAYO02,Yogurt,Dairy,17.46,27,2024-04-23
DAMI02,Milk,Dairy,13.02,339,2024-09-01
GRPA05,Pasta,Groceries,13.97,202,2024-12-12
GRBE04,Beans,Groceries,19.38,463,2024-05-28
CLBL08,Bleach,Cleaning,2.48,349,2024-07-04
GRBE05,Beans,Groceries,7.49,140,2024-04-07
DABU01,Butter,Dairy,13.58,439,2024-12-24
DAYO03,Yogurt,Dairy,10.67,38,2024-05-27
CLBL09,Bleach,Cleaning,6.11,440,-
HETO04,Toothpaste,Health & Beauty,10.26,22,2024-04-28
CLBL10,Bleach,Cleaning,7.3,357,2024-05-03
DAEG05,Eggs,Dairy,3.14,487,2024-04-16
